architecture,n_people,compliance,replication,truth,estimate,se,df,covered,detected
spaced,30,0.7,193,0.010005021702424939,0.006730830062932111,0.00914864326329859,28.999819398874447,true,false
spaced,30,0.7,194,0.010400244006779958,0.008191732397713222,0.006229104607319629,28.99978751435975,true,false
spaced,30,0.7,195,0.009835813855887337,0.017665064541149217,0.009005685401702889,28.999583436374984,true,false
spaced,30,0.7,196,0.010527910135011838,0.006881284148856385,0.006099086432470546,28.999580353591345,true,false
spaced,30,0.7,197,0.010361151913816933,0.00722121190536304,0.007515022615150876,28.99969469951217,true,false
spaced,30,0.7,198,0.009929313328949238,0.015480277174892464,0.004942603332361028,28.999316938605066,true,true
spaced,30,0.7,199,0.010974759149145044,0.011194101937065968,0.01042335480542674,28.999620852475527,true,false
spaced,30,0.7,200,0.009760499877430018,0.011008369127635068,0.005761671123096812,28.999774218327858,true,false
spaced,30,0.7,201,0.010153759342407052,0.023317745198032314,0.005123841761093032,28.99972867065633,false,true
spaced,30,0.7,202,0.009616749284559446,0.018980785275223167,0.00783011955358186,28.999535741491428,true,true
spaced,30,0.7,203,0.009412919129356146,0.0018095274138698267,0.007112306339366693,28.999799560994475,true,false
spaced,30,0.7,204,0.009594122073458682,0.004699982959309738,0.0072119569026158955,28.999385237314794,true,false
spaced,30,0.7,205,0.00977499510265955,0.013720108582523786,0.008302489303633032,28.999534336383324,true,false
spaced,30,0.7,206,0.009843002664704385,0.00223434180501696,0.00836210246279812,28.999851701434654,true,false
spaced,30,0.7,207,0.009113954854258621,0.01303246620799143,0.009217030779141624,28.99962471835474,true,false
spaced,30,0.7,208,0.009624068144552111,0.011578665424934836,0.00840545169507299,28.998973988350404,true,false
spaced,30,0.7,209,0.009404477381079126,0.009044802886912073,0.006722545550295742,28.999370824205094,true,false
spaced,30,0.7,210,0.010228965057994699,0.01813175880090619,0.006931693596885309,28.999045316759428,true,true
spaced,30,0.7,211,0.010083622325953438,0.012866968384643235,0.008118265400301998,28.999280877558537,true,false
spaced,30,0.7,212,0.009950055838025784,0.016828780757853923,0.007797399447934147,28.999726143275698,true,true
spaced,30,0.7,213,0.00999740195342898,0.01576375144319247,0.00817174819193968,28.999729150996203,true,false
spaced,30,0.7,214,0.009512458032590706,0.008018081436950895,0.007575084006119315,28.999498729805595,true,false
spaced,30,0.7,215,0.009791009093947629,0.008011720668934696,0.008046252387363556,28.99958670542654,true,false
spaced,30,0.7,216,0.010028670180132973,0.019390728567997412,0.007281372243486052,28.99874274249728,true,true
spaced,30,0.7,217,0.009195811019690971,0.0046738133204602605,0.00664700343048886,28.99952983840083,true,false
spaced,30,0.7,218,0.01009286123303389,0.007232185847173735,0.008572351118727083,28.99966370062459,true,false
spaced,30,0.7,219,0.009381991623934396,0.004048615039759923,0.007692958588097255,28.99973192204955,true,false
spaced,30,0.7,220,0.010007922427794273,0.007360290228400443,0.008657407785454522,28.999753724579417,true,false
spaced,30,0.7,221,0.009487338516571225,0.02416355311554497,0.007811317615655118,28.999505328650308,true,true
spaced,30,0.7,222,0.009802722839455522,0.0042322065969766275,0.008772681151843313,28.999591100568562,true,false
spaced,30,0.7,223,0.010131574602352861,0.007846799634291954,0.0068824284162621804,28.99962031363981,true,false
spaced,30,0.7,224,0.009926853692044076,0.007716729284259336,0.009518390330211136,28.999941443421875,true,false
spaced,30,0.7,225,0.009134880207633636,0.010103546046333739,0.007976086181032316,28.999827055580084,true,false
spaced,30,0.7,226,0.009863430306869739,0.012523072285994004,0.008243528666782046,28.99957719201952,true,false
spaced,30,0.7,227,0.00952856414287146,0.011383442360205538,0.007940295659391134,28.999698774440656,true,false
spaced,30,0.7,228,0.009537111975285482,0.0022216469044361083,0.006350342143459886,28.999769986410428,true,false
spaced,30,0.7,229,0.01021135384572252,0.017777232726822183,0.007086593070813473,28.99927379627772,true,true
spaced,30,0.7,230,0.009437926251561085,-0.002802129597760795,0.008026351887393262,28.999642255779204,true,false
spaced,30,0.7,231,0.009470008924756825,0.0073170483363613065,0.008243333070806573,28.999013865440396,true,false
spaced,30,0.7,232,0.009667146304772322,0.009683773213228632,0.006602316189651194,28.99944181455088,true,false
spaced,30,0.7,233,0.009443452172932498,0.006319126972135481,0.007408116607253228,28.999603664586257,true,false
spaced,30,0.7,234,0.010048647008848017,0.019513106853220087,0.0074876037755848696,28.999640727320504,true,true
spaced,30,0.7,235,0.00986167421011353,0.01546384104272634,0.007356658809705483,28.999175801104553,true,true
spaced,30,0.7,236,0.009602304699008283,0.01059040831763766,0.009036553483327789,28.999548159308585,true,false
spaced,30,0.7,237,0.010075728044444437,0.022829104918157088,0.007729235114874602,28.999354196791394,true,true
spaced,30,0.7,238,0.009552283623583275,0.005206235757001653,0.008016172310844045,28.999583033958064,true,false
spaced,30,0.7,239,0.009957446939090921,-0.011583181564429008,0.006576623085580561,28.999759774486805,false,false
spaced,30,0.7,240,0.010122760880875402,0.0024568213583041217,0.008867109158696556,28.999241767344206,true,false
spaced,30,0.7,241,0.010306108423555265,0.016092044663947026,0.006716618423488557,28.99957157264016,true,true
spaced,30,0.7,242,0.010125843016923845,0.021649006403009038,0.010075887110281756,28.99951278473891,true,true
spaced,30,0.7,243,0.01033748179146991,0.002523818043612203,0.007717036481245872,28.999604321857955,true,false
spaced,30,0.7,244,0.010080805124156373,-0.001778097063739018,0.00902070458472111,28.99951688845021,true,false
spaced,30,0.7,245,0.009608678914760855,0.02040881707876416,0.006764964275394103,28.99949901503655,true,true
spaced,30,0.7,246,0.009899678099835446,0.007608328787194474,0.005740034548231989,28.999904292602633,true,false
spaced,30,0.7,247,0.009879748112578947,0.027482631858768942,0.00883709021926227,28.99949081193665,true,true
spaced,30,0.7,248,0.009891180712103518,0.011204473944059027,0.0059849250531631,28.999250410176,true,false
spaced,30,0.7,249,0.00959086570304361,0.015405539935828933,0.008138925006656535,28.99975925922557,true,false
spaced,30,0.7,250,0.010431273200360447,-0.012122439504662743,0.007641479274417996,28.99962515464147,false,false
spaced,30,0.7,251,0.01033060906487309,0.015471371115521049,0.00864351887180787,28.99958536845817,true,false
spaced,30,0.7,252,0.010085046775815244,0.013295933844197595,0.007708751756286167,28.99968437033515,true,false
spaced,30,0.7,253,0.010093306992150095,0.0016620846487876702,0.0071782161830719875,28.999755562181697,true,false
spaced,30,0.7,254,0.009661217412059829,0.023615956012384528,0.010582063360387653,28.999335362090136,true,true
spaced,30,0.7,255,0.01070863240878147,0.007022379946273912,0.008337616240787412,28.99984606286701,true,false
spaced,30,0.7,256,0.009786052114814108,0.017601818886055796,0.008057866447640068,28.999563605894885,true,true
spaced,30,0.7,257,0.009734135851387373,0.011512356428908094,0.007471334896623343,28.999777624788667,true,false
spaced,30,0.7,258,0.0100546614623345,0.0270542081985039,0.008274338590090483,28.999766022499013,false,true
spaced,30,0.7,259,0.010014881741411056,0.029554259296925255,0.010280358303489502,28.999866693057907,true,true
spaced,30,0.7,260,0.010063626921187405,0.015342362151978131,0.008068365464951018,28.99847071761104,true,false
spaced,30,0.7,261,0.010181665245626416,0.017263950429277055,0.007994694084690166,28.998971819631,true,true
spaced,30,0.7,262,0.009743403029834256,0.007009457662580655,0.007469808368000773,28.999861352949814,true,false
spaced,30,0.7,263,0.010033756310283717,0.005570796361230052,0.008254847719657583,28.999385596868567,true,false
spaced,30,0.7,264,0.009974062100248057,0.011592853496955853,0.006283170896942662,28.99957565598999,true,false
spaced,30,0.7,265,0.009921264658237911,0.016297800746862583,0.009093450818066196,28.99976083522745,true,false
spaced,30,0.7,266,0.01024065776928288,0.015026332449978636,0.007859299905675089,28.999044539810246,true,false
spaced,30,0.7,267,0.01056528190432467,0.004310916916591858,0.007363275629072417,28.999764862029092,true,false
spaced,30,0.7,268,0.009950476705823705,0.007112204830383365,0.008415125389076229,28.999717772900645,true,false
spaced,30,0.7,269,0.01047704022795012,0.023904455910859598,0.00911181367930732,28.999162707508262,true,true
