architecture,mechanism,adaptivity,context_strength,observation_strength,replication,parameter,truth,estimate,se,covered,observed_rate
spaced,clean,0.0,0.0,0.0,25,previous_failure,0.35,0.19135241341284728,0.18638568688671953,true,1.0
spaced,clean,0.0,0.0,0.0,25,retention,0.75,0.8491601031526109,0.06308480784098729,true,1.0
spaced,clean,0.0,0.0,0.0,26,delay_slope,0.25,0.31871939939115024,0.05775998921758215,true,1.0
spaced,clean,0.0,0.0,0.0,26,state_slope,-0.55,-0.609336917020858,0.07765453716241016,true,1.0
spaced,clean,0.0,0.0,0.0,26,previous_failure,0.35,0.4905943946836102,0.13979048596347776,true,1.0
spaced,clean,0.0,0.0,0.0,26,retention,0.75,0.7112891810014328,0.0694282207238131,true,1.0
spaced,clean,0.0,0.0,0.0,27,delay_slope,0.25,0.22155540330128265,0.06600756577311016,true,1.0
spaced,clean,0.0,0.0,0.0,27,state_slope,-0.55,-0.6145949063697203,0.0779271422517281,true,1.0
spaced,clean,0.0,0.0,0.0,27,previous_failure,0.35,0.536818133720627,0.14892055537628404,true,1.0
spaced,clean,0.0,0.0,0.0,27,retention,0.75,0.6885852694288424,0.06007733710504269,true,1.0
spaced,clean,0.0,0.0,0.0,28,delay_slope,0.25,0.4176261790986563,0.06180059928190603,false,1.0
spaced,clean,0.0,0.0,0.0,28,state_slope,-0.55,-0.7391622290074036,0.08220343879068635,false,1.0
spaced,clean,0.0,0.0,0.0,28,previous_failure,0.35,-0.042250831200935826,0.17510087590450965,false,1.0
spaced,clean,0.0,0.0,0.0,28,retention,0.75,0.6776320318992489,0.05505843115157698,true,1.0
spaced,clean,0.0,0.0,0.0,29,delay_slope,0.25,0.35453987339091136,0.06191010149499731,true,1.0
spaced,clean,0.0,0.0,0.0,29,state_slope,-0.55,-0.6705746935602958,0.09439329222567179,true,1.0
spaced,clean,0.0,0.0,0.0,29,previous_failure,0.35,-0.10754285650268436,0.18895423494275937,false,1.0
spaced,clean,0.0,0.0,0.0,29,retention,0.75,0.6533131084163097,0.08688938198464573,true,1.0
spaced,clean,0.0,0.0,0.0,30,delay_slope,0.25,0.2990568764359961,0.062066446728373165,true,1.0
spaced,clean,0.0,0.0,0.0,30,state_slope,-0.55,-0.5629027850646408,0.0747886297909052,true,1.0
spaced,clean,0.0,0.0,0.0,30,previous_failure,0.35,0.5232310454220281,0.14612467069152255,true,1.0
spaced,clean,0.0,0.0,0.0,30,retention,0.75,0.7931311345515984,0.05652099776959488,true,1.0
spaced,clean,0.0,0.0,0.0,31,delay_slope,0.25,0.3606367652781167,0.06846202431744067,true,1.0
spaced,clean,0.0,0.0,0.0,31,state_slope,-0.55,-0.5724621155063248,0.09052419345349293,true,1.0
spaced,clean,0.0,0.0,0.0,31,previous_failure,0.35,0.38641092103818186,0.17316339287423863,true,1.0
spaced,clean,0.0,0.0,0.0,31,retention,0.75,0.7130873560792625,0.06657964453423548,true,1.0
spaced,clean,0.0,0.0,0.0,32,delay_slope,0.25,0.23340220412633536,0.061996047229816366,true,1.0
spaced,clean,0.0,0.0,0.0,32,state_slope,-0.55,-0.589461043112248,0.06733430745772734,true,1.0
spaced,clean,0.0,0.0,0.0,32,previous_failure,0.35,0.16723295721678505,0.16239815554926926,true,1.0
spaced,clean,0.0,0.0,0.0,32,retention,0.75,0.8192930867087836,0.05021135150563522,true,1.0
spaced,clean,0.0,0.0,0.0,33,delay_slope,0.25,0.2298682235470355,0.07140494965328664,true,1.0
spaced,clean,0.0,0.0,0.0,33,state_slope,-0.55,-0.6360038753315821,0.0881955351279515,true,1.0
spaced,clean,0.0,0.0,0.0,33,previous_failure,0.35,0.12524190103646154,0.1887743073989936,true,1.0
spaced,clean,0.0,0.0,0.0,33,retention,0.75,0.7710500886253564,0.06040494695909261,true,1.0
spaced,clean,0.0,0.0,0.0,34,delay_slope,0.25,0.228361748897768,0.06894538866281298,true,1.0
spaced,clean,0.0,0.0,0.0,34,state_slope,-0.55,-0.5846094229057585,0.10002651393270333,true,1.0
spaced,clean,0.0,0.0,0.0,34,previous_failure,0.35,0.19569653316551733,0.1829033440934195,true,1.0
spaced,clean,0.0,0.0,0.0,34,retention,0.75,0.7276057188456251,0.08045290806702084,true,1.0
spaced,clean,0.0,0.0,0.0,35,delay_slope,0.25,0.3137536141401022,0.058490684668291784,true,1.0
spaced,clean,0.0,0.0,0.0,35,state_slope,-0.55,-0.6301412242704132,0.06899648429651704,true,1.0
spaced,clean,0.0,0.0,0.0,35,previous_failure,0.35,0.25740519343640855,0.14784461231997978,true,1.0
spaced,clean,0.0,0.0,0.0,35,retention,0.75,0.7112290903402448,0.052599776221348066,true,1.0
spaced,clean,0.0,0.0,0.0,36,delay_slope,0.25,0.20677187557249155,0.06788943159137759,true,1.0
spaced,clean,0.0,0.0,0.0,36,state_slope,-0.55,-0.4938750248504278,0.08800461420172043,true,1.0
spaced,clean,0.0,0.0,0.0,36,previous_failure,0.35,0.41078743223370107,0.17019447799754275,true,1.0
spaced,clean,0.0,0.0,0.0,36,retention,0.75,0.738411655305787,0.08033460097265328,true,1.0
spaced,clean,0.0,0.0,0.0,37,delay_slope,0.25,0.17723875055645605,0.06798332641602035,true,1.0
spaced,clean,0.0,0.0,0.0,37,state_slope,-0.55,-0.5462307113769498,0.09509120836347669,true,1.0
spaced,clean,0.0,0.0,0.0,37,previous_failure,0.35,0.4701940674718668,0.1661609901942533,true,1.0
spaced,clean,0.0,0.0,0.0,37,retention,0.75,0.6984170680280117,0.08270085782138688,true,1.0
spaced,clean,0.0,0.0,0.0,38,delay_slope,0.25,0.2733388390639797,0.06845470257901519,true,1.0
spaced,clean,0.0,0.0,0.0,38,state_slope,-0.55,-0.7339920692858822,0.10488986374701519,true,1.0
spaced,clean,0.0,0.0,0.0,38,previous_failure,0.35,0.28903183935314525,0.17807120650921232,true,1.0
spaced,clean,0.0,0.0,0.0,38,retention,0.75,0.6546695545837954,0.07607001549227199,true,1.0
spaced,clean,0.0,0.0,0.0,39,delay_slope,0.25,0.12393446878193626,0.06842357403210408,true,1.0
spaced,clean,0.0,0.0,0.0,39,state_slope,-0.55,-0.532798094918334,0.08244899011442307,true,1.0
spaced,clean,0.0,0.0,0.0,39,previous_failure,0.35,0.4837314926864848,0.16186252482030922,true,1.0
spaced,clean,0.0,0.0,0.0,39,retention,0.75,0.7767703107502023,0.06702134199977478,true,1.0
spaced,clean,0.0,0.0,0.0,40,delay_slope,0.25,0.26406270506959084,0.0683079247966448,true,1.0
spaced,clean,0.0,0.0,0.0,40,state_slope,-0.55,-0.6286937186763248,0.09188984701765011,true,1.0
spaced,clean,0.0,0.0,0.0,40,previous_failure,0.35,0.3537339887360048,0.16961040051025256,true,1.0
spaced,clean,0.0,0.0,0.0,40,retention,0.75,0.6845304907860447,0.07105857504494724,true,1.0
spaced,clean,0.0,0.0,0.0,41,delay_slope,0.25,0.23231768284919918,0.0933371594315425,true,1.0
spaced,clean,0.0,0.0,0.0,41,state_slope,-0.55,-0.5659465849015706,0.11514890826776046,true,1.0
spaced,clean,0.0,0.0,0.0,41,previous_failure,0.35,0.463140277088865,0.20971571004664102,true,1.0
spaced,clean,0.0,0.0,0.0,41,retention,0.75,0.8113216347988066,0.07290047064992997,true,1.0
spaced,clean,0.0,0.0,0.0,42,delay_slope,0.25,0.26161806748560956,0.06310686637087333,true,1.0
spaced,clean,0.0,0.0,0.0,42,state_slope,-0.55,-0.4553682424146677,0.08618645692786578,true,1.0
spaced,clean,0.0,0.0,0.0,42,previous_failure,0.35,0.3848001970733147,0.1622894840731974,true,1.0
spaced,clean,0.0,0.0,0.0,42,retention,0.75,0.7372491829049097,0.0835135625093665,true,1.0
spaced,clean,0.0,0.0,0.0,43,delay_slope,0.25,0.19985463692679817,0.06292173175346574,true,1.0
spaced,clean,0.0,0.0,0.0,43,state_slope,-0.55,-0.45310612539621214,0.07510110119538464,true,1.0
spaced,clean,0.0,0.0,0.0,43,previous_failure,0.35,0.3100606854722461,0.16580535248816916,true,1.0
spaced,clean,0.0,0.0,0.0,43,retention,0.75,0.793130388954119,0.07039399335486782,true,1.0
spaced,clean,0.0,0.0,0.0,44,delay_slope,0.25,0.21963297096876905,0.06994653281905229,true,1.0
spaced,clean,0.0,0.0,0.0,44,state_slope,-0.55,-0.5459397764507217,0.09905344820100243,true,1.0
spaced,clean,0.0,0.0,0.0,44,previous_failure,0.35,0.3349915380616939,0.18228078625446065,true,1.0
spaced,clean,0.0,0.0,0.0,44,retention,0.75,0.68321942854537,0.08732596229739004,true,1.0
spaced,clean,0.0,0.0,0.0,45,delay_slope,0.25,0.2567019320901605,0.06717443933885436,true,1.0
spaced,clean,0.0,0.0,0.0,45,state_slope,-0.55,-0.5134439949819334,0.10579917624144078,true,1.0
spaced,clean,0.0,0.0,0.0,45,previous_failure,0.35,0.41734044664255654,0.1709806669785901,true,1.0
spaced,clean,0.0,0.0,0.0,45,retention,0.75,0.7228052499724557,0.10546309417421752,true,1.0
spaced,clean,0.0,0.0,0.0,46,delay_slope,0.25,0.31647508078905223,0.06936558319771546,true,1.0
spaced,clean,0.0,0.0,0.0,46,state_slope,-0.55,-0.598720665753545,0.0946737788037456,true,1.0
spaced,clean,0.0,0.0,0.0,46,previous_failure,0.35,0.5271390038148848,0.16024002690608016,true,1.0
spaced,clean,0.0,0.0,0.0,46,retention,0.75,0.7708443518175379,0.06645715368195228,true,1.0
spaced,clean,0.0,0.0,0.0,47,delay_slope,0.25,0.17222783589045007,0.07349914320361078,true,1.0
spaced,clean,0.0,0.0,0.0,47,state_slope,-0.55,-0.5602762107728808,0.11530691190369018,true,1.0
spaced,clean,0.0,0.0,0.0,47,previous_failure,0.35,0.37866298261961057,0.18052577917027257,true,1.0
spaced,clean,0.0,0.0,0.0,47,retention,0.75,0.6991665479045456,0.1019249741212807,true,1.0
spaced,clean,0.0,0.0,0.0,48,delay_slope,0.25,0.19731766373847437,0.06974859844089518,true,1.0
spaced,clean,0.0,0.0,0.0,48,state_slope,-0.55,-0.6379393022351607,0.10602259844608435,true,1.0
spaced,clean,0.0,0.0,0.0,48,previous_failure,0.35,0.29725820422505933,0.18016509784044896,true,1.0
spaced,clean,0.0,0.0,0.0,48,retention,0.75,0.659426797215985,0.08485505152017345,true,1.0
spaced,clean,0.0,0.0,0.0,49,delay_slope,0.25,0.31741159751796877,0.06965408144693747,true,1.0
spaced,clean,0.0,0.0,0.0,49,state_slope,-0.55,-0.5381502403139944,0.09656655361851309,true,1.0
spaced,clean,0.0,0.0,0.0,49,previous_failure,0.35,0.30753392718967587,0.17530447297997462,true,1.0
spaced,clean,0.0,0.0,0.0,49,retention,0.75,0.7150106165724922,0.07775036090149157,true,1.0
spaced,clean,0.0,0.0,0.0,50,delay_slope,0.25,0.18571499725146015,0.06835965012509547,true,1.0
spaced,clean,0.0,0.0,0.0,50,state_slope,-0.55,-0.5673651819902096,0.07984230320559853,true,1.0
spaced,clean,0.0,0.0,0.0,50,previous_failure,0.35,0.48360416804562495,0.16017230437107796,true,1.0
spaced,clean,0.0,0.0,0.0,50,retention,0.75,0.8260201108949421,0.05688423634640842,true,1.0
spaced,clean,0.0,0.0,0.0,51,delay_slope,0.25,0.15243199995255996,0.0734795571187955,true,1.0
spaced,clean,0.0,0.0,0.0,51,state_slope,-0.55,-0.6506444375640885,0.12311689549277902,true,1.0
spaced,clean,0.0,0.0,0.0,51,previous_failure,0.35,0.32462318607237683,0.18898085087960484,true,1.0
spaced,clean,0.0,0.0,0.0,51,retention,0.75,0.5743358885857792,0.11182578694692225,true,1.0
spaced,clean,0.0,0.0,0.0,52,delay_slope,0.25,0.39623376926818665,0.06684643863060916,false,1.0
spaced,clean,0.0,0.0,0.0,52,state_slope,-0.55,-0.655593204306296,0.08554078749399412,true,1.0
spaced,clean,0.0,0.0,0.0,52,previous_failure,0.35,0.13029926531531172,0.1768659956320462,true,1.0
spaced,clean,0.0,0.0,0.0,52,retention,0.75,0.7608999549801148,0.05404482985557121,true,1.0
spaced,clean,0.0,0.0,0.0,53,delay_slope,0.25,0.30621126914816565,0.07337445391058617,true,1.0
spaced,clean,0.0,0.0,0.0,53,state_slope,-0.55,-0.5176586755662038,0.08921096666221799,true,1.0
spaced,clean,0.0,0.0,0.0,53,previous_failure,0.35,0.3898704245746605,0.17342925324276384,true,1.0
spaced,clean,0.0,0.0,0.0,53,retention,0.75,0.8373784911752427,0.0632767050908512,true,1.0
spaced,clean,0.0,0.0,0.0,54,delay_slope,0.25,0.28129407197813294,0.0703080331283666,true,1.0
spaced,clean,0.0,0.0,0.0,54,state_slope,-0.55,-0.436148901839067,0.08284953696564971,true,1.0
spaced,clean,0.0,0.0,0.0,54,previous_failure,0.35,0.32367128238193954,0.17538626277845604,true,1.0
spaced,clean,0.0,0.0,0.0,54,retention,0.75,0.8931109392398471,0.06695302081532303,false,1.0
spaced,clean,0.0,0.0,0.0,55,delay_slope,0.25,0.35553138990640454,0.06829405932229958,true,1.0
spaced,clean,0.0,0.0,0.0,55,state_slope,-0.55,-0.6593647213521873,0.10476552689852779,true,1.0
spaced,clean,0.0,0.0,0.0,55,previous_failure,0.35,0.310104706396271,0.1716447150444909,true,1.0
spaced,clean,0.0,0.0,0.0,55,retention,0.75,0.7549764425790626,0.0732430630312194,true,1.0
spaced,clean,0.0,0.0,0.0,56,delay_slope,0.25,0.267267311405618,0.07033794232837635,true,1.0
spaced,clean,0.0,0.0,0.0,56,state_slope,-0.55,-0.5738696043021961,0.1303789815439854,true,1.0
spaced,clean,0.0,0.0,0.0,56,previous_failure,0.35,0.2500790663843777,0.1913938923688434,true,1.0
spaced,clean,0.0,0.0,0.0,56,retention,0.75,0.7199988816147436,0.11487276862524874,true,1.0
spaced,clean,0.0,0.0,0.0,57,delay_slope,0.25,0.31718655290067427,0.06627638465195974,true,1.0
spaced,clean,0.0,0.0,0.0,57,state_slope,-0.55,-0.46406568152499306,0.08228471728279943,true,1.0
spaced,clean,0.0,0.0,0.0,57,previous_failure,0.35,0.19576930572284915,0.17799606437508095,true,1.0
spaced,clean,0.0,0.0,0.0,57,retention,0.75,0.8649763319908818,0.0680640023614364,true,1.0
