"n_participants","adaptivity","state_reliability","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
30,0.4,0.8,"oracle",200,0.17164345062822,0.171679860967401,-3.64103391805425e-05,0.0470104061112897,0.0587092557733288,0.94,0,1,0.00416178799741214,0.10003,0.656156669206296
30,0.75,0.5,"naive",200,-0.211890982824811,0.229066407429026,-0.440957390253837,0.440957390253837,0.444424409592207,0,1,1,0.00392750628741985,0.0985366666666667,0.820055834307106
30,0.75,0.5,"history",200,-0.0640363781823108,0.229066407429026,-0.293102785611337,0.293102785611337,0.300019979922775,0,0.845,1,0.00454057387941849,0.0985366666666667,0.820055834307106
30,0.75,0.5,"schedule_conditioned",200,0.237330303781174,0.229066407429026,0.00826389635214751,0.0638666626354012,0.0794439527187188,0.935,0,1,0.00560108103378357,0.0985366666666667,0.820055834307106
30,0.75,0.5,"oracle",200,0.23956599528934,0.229066407429026,0.0104995878603137,0.0613834892992634,0.074880212964382,0.935,0,1,0.00525567649488323,0.0985366666666667,0.820055834307106
30,0.75,0.8,"naive",200,-0.208178498020929,0.22874032044991,-0.436918818470839,0.436918818470839,0.440380061813867,0,1,1,0.0039062795143689,0.0992366666666667,0.8193187900008
30,0.75,0.8,"history",200,0.0640192824366388,0.22874032044991,-0.164721038013271,0.165720102092327,0.177409875409038,0.26,0.17,1,0.00467068454436484,0.0992366666666667,0.8193187900008
30,0.75,0.8,"schedule_conditioned",200,0.230703814570225,0.22874032044991,0.00196349412031531,0.0616734288725874,0.0765762721801829,0.965,0,1,0.0054265632496801,0.0992366666666667,0.8193187900008
30,0.75,0.8,"oracle",200,0.231160750239144,0.22874032044991,0.00242042978923395,0.0579941525003027,0.0721222574284559,0.965,0,1,0.00510973134844934,0.0992366666666667,0.8193187900008
30,1.1,0.5,"naive",200,-0.180581517174722,0.296534159638819,-0.477115676813541,0.477115676813541,0.480253813176843,0,1,1,0.0038855200913358,0.0991725,0.895761066875585
30,1.1,0.5,"history",200,-0.0771410840315551,0.296534159638819,-0.373675243670374,0.373675243670374,0.379368169467308,0,0.895,1,0.00464142385928306,0.0991725,0.895761066875585
30,1.1,0.5,"schedule_conditioned",200,0.279277681066929,0.296534159638819,-0.0172564785718898,0.0877505209845749,0.108375409757167,0.93,0,1,0.00758451324360174,0.0991725,0.895761066875585
30,1.1,0.5,"oracle",200,0.281159372790695,0.296534159638819,-0.0153747868481236,0.0815277843010589,0.0992191005551208,0.955,0.005,1,0.00694849893205385,0.0991725,0.895761066875585
30,1.1,0.8,"naive",200,-0.180055196057445,0.297375651266771,-0.477430847324216,0.477430847324216,0.480679079690076,0,1,1,0.0039546192537474,0.0987725,0.896600753649188
30,1.1,0.8,"history",200,0.0665325582851,0.297375651266771,-0.230843092981671,0.230843092981671,0.243043609046216,0.115,0.2,1,0.0053901372433211,0.0987725,0.896600753649188
30,1.1,0.8,"schedule_conditioned",200,0.314432375545067,0.297375651266771,0.0170567242782961,0.0835729962221783,0.107091140144884,0.93,0,1,0.007494581109184,0.0987725,0.896600753649188
30,1.1,0.8,"oracle",200,0.313628460450384,0.297375651266771,0.0162528091836129,0.0784297261847562,0.0995555565688286,0.925,0,1,0.00696262637349845,0.0987725,0.896600753649188
100,0,0.5,"naive",200,0.0685124748077803,0.138243815420571,-0.0697313406127909,0.0697313406127909,0.0730476418033721,0.125,0,1,0.0015425263318028,0.102175,0.398584469668946
100,0,0.5,"history",200,0.134286182244931,0.138243815420571,-0.0039576331756402,0.0186532785477288,0.0226441375682334,0.97,0,1,0.00158049369848014,0.102175,0.398584469668946
100,0,0.5,"schedule_conditioned",200,0.133958996058261,0.138243815420571,-0.00428481936230979,0.019892357224451,0.0239493514943121,0.97,0,1,0.0016703319563411,0.102175,0.398584469668946
100,0,0.5,"oracle",200,0.136165319845627,0.138243815420571,-0.00207849557494457,0.0183950894765599,0.0224724929926205,0.965,0,1,0.00158620434001518,0.102175,0.398584469668946
100,0,0.8,"naive",200,0.0692276863422618,0.138261181310614,-0.0690334949683521,0.069142310147398,0.072431607077395,0.15,0,1,0.00155423602760026,0.1029095,0.399107973356782
100,0,0.8,"history",200,0.13547499105318,0.138261181310614,-0.0027861902574336,0.0170554886012066,0.021569171138698,0.955,0,1,0.00151618783965732,0.1029095,0.399107973356782
100,0,0.8,"schedule_conditioned",200,0.133763672614133,0.138261181310614,-0.00449750869648055,0.0181378032206024,0.0233807532238943,0.955,0,1,0.00162646460760991,0.1029095,0.399107973356782
100,0,0.8,"oracle",200,0.136478981010375,0.138261181310614,-0.00178220030023935,0.0170537042800518,0.0216783183857586,0.955,0,1,0.00153153329109405,0.1029095,0.399107973356782
100,0.4,0.5,"naive",200,-0.175334235529381,0.171649061775073,-0.346983297304454,0.346983297304454,0.348491494712105,0,1,1,0.00229584864418666,0.10019125,0.655297408747871
100,0.4,0.5,"history",200,-0.00443859117618829,0.171649061775073,-0.176087652951262,0.176087652951262,0.179023593636829,0,0.565,1,0.00228891314837571,0.10019125,0.655297408747871
100,0.4,0.5,"schedule_conditioned",200,0.170396432250831,0.171649061775073,-0.00125262952424234,0.0262609698766296,0.0327230272108554,0.965,0,1,0.00231797371779076,0.10019125,0.655297408747871
100,0.4,0.5,"oracle",200,0.170232380202955,0.171649061775073,-0.00141668157211828,0.0250584134548439,0.0321723595863832,0.93,0,1,0.00227842594731115,0.10019125,0.655297408747871
100,0.4,0.8,"naive",200,-0.178453319464268,0.172204349770628,-0.350657669234896,0.350657669234896,0.351896551976854,0,1,1,0.00209135850627131,0.10071025,0.658622446939386
100,0.4,0.8,"history",200,0.0873716188233878,0.172204349770628,-0.0848327309472402,0.0848327309472402,0.0895027328085414,0.19,0,1,0.00202266919055581,0.10071025,0.658622446939386
100,0.4,0.8,"schedule_conditioned",200,0.16900806196729,0.172204349770628,-0.00319628780333764,0.0250181418144447,0.0311637688419756,0.96,0,1,0.00219749084037666,0.10071025,0.658622446939386
100,0.4,0.8,"oracle",200,0.170319814885636,0.172204349770628,-0.00188453488499213,0.0229989458259239,0.0286517222329136,0.96,0,1,0.00202666857266142,0.10071025,0.658622446939386
100,0.75,0.5,"naive",200,-0.217301240220805,0.229838217149977,-0.447139457370782,0.447139457370782,0.448174495747352,0,1,1,0.00215793999636704,0.0992815,0.821362195159428
100,0.75,0.5,"history",200,-0.0704091894791339,0.229838217149977,-0.300247406629111,0.300247406629111,0.302481218533415,0,0.99,1,0.00260110372586889,0.0992815,0.821362195159428
100,0.75,0.5,"schedule_conditioned",200,0.225889135894996,0.229838217149977,-0.00394908125498063,0.0361521346909418,0.045916631348603,0.94,0,1,0.00324288303987004,0.0992815,0.821362195159428
100,0.75,0.5,"oracle",200,0.22647618396941,0.229838217149977,-0.00336203318056683,0.033341692233264,0.0418367503690272,0.94,0,1,0.00295613697258241,0.0992815,0.821362195159428
100,0.75,0.8,"naive",200,-0.213076637353757,0.228747301485925,-0.441823938839682,0.441823938839682,0.443076185189032,0,1,1,0.00235974718628655,0.099898,0.819734852797109
100,0.75,0.8,"history",200,0.0655620215361048,0.228747301485925,-0.16318527994982,0.16318527994982,0.167514854182959,0.01,0.05,1,0.00268233639592226,0.099898,0.819734852797109
100,0.75,0.8,"schedule_conditioned",200,0.229043917954293,0.228747301485925,0.00029661646836833,0.0358114878924546,0.0433949672254782,0.935,0,1,0.00307611580374428,0.099898,0.819734852797109
100,0.75,0.8,"oracle",200,0.229680449929345,0.228747301485925,0.000933148443420444,0.0341717239397906,0.0417379484872056,0.945,0,1,0.00295798517083338,0.099898,0.819734852797109
100,1.1,0.5,"naive",200,-0.1881929807542,0.298273560557763,-0.486466541311963,0.486466541311963,0.487620986442125,0,1,1,0.00237716376204833,0.09875,0.897279162115875
100,1.1,0.5,"history",200,-0.0790410774597618,0.298273560557763,-0.377314638017524,0.377314638017524,0.379471796534248,0,0.985,1,0.00286418562766432,0.09875,0.897279162115875
100,1.1,0.5,"schedule_conditioned",200,0.29522809518074,0.298273560557763,-0.00304546537702236,0.0424927274895581,0.0543817617359355,0.96,0,1,0.00384897111497693,0.09875,0.897279162115875
100,1.1,0.5,"oracle",200,0.295521596150088,0.298273560557763,-0.00275196440767437,0.0395373914822048,0.0510969122688552,0.945,0,1,0.00361690693207975,0.09875,0.897279162115875
100,1.1,0.8,"naive",200,-0.186352142821582,0.297842005037142,-0.484194147858724,0.484194147858724,0.485259912315464,0,1,1,0.00227859791123522,0.098748,0.896830938428517
100,1.1,0.8,"history",200,0.054019798530765,0.297842005037142,-0.243822206506377,0.243822206506377,0.248308698632855,0,0.135,1,0.00333094327043754,0.098748,0.896830938428517
100,1.1,0.8,"schedule_conditioned",200,0.296494521544106,0.297842005037142,-0.0013474834930354,0.0454683892707324,0.0583529728367244,0.94,0,1,0.00413542954518796,0.098748,0.896830938428517
100,1.1,0.8,"oracle",200,0.296353289224583,0.297842005037142,-0.00148871581255908,0.0418638928287699,0.0533648520080084,0.935,0,1,0.00378146175976077,0.098748,0.896830938428517
