study,replication,n_participants,n_items,n_stages,perturbation_log_days,perturbation_compliance,context_strength,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,normal_detected_positive,participant_t_detected_positive,failure_rate,planned_actual_spearman,lpm_estimate,lpm_standard_error,absolute_estimate_difference,absolute_standard_error_difference
micro_randomized_wcls,23,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.005115766310659365,0.0009428473564798122,0.014486247060320357,-0.027450196881748087,0.02933589159470771,-0.030941167448706407,0.03282686216166603,true,-0.004172918954179553,1.7413252598150978e-5,true,true,false,false,0.10666666666666667,0.6900338689294911,0.0009428473564888432,0.014486247060320057,9.031078836152506e-15,3.0010716134398763e-16
micro_randomized_wcls,24,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.00448747529788156,0.008564874776987466,0.012656881516068383,-0.016242612994506564,0.03337236254848149,-0.019292733612917196,0.03642248316689213,true,0.004077399479105906,1.662518651221311e-5,true,true,false,false,0.09125,0.698095838211083,0.008564874776994717,0.012656881516067647,7.251144129583054e-15,7.355227538141662e-16
micro_randomized_wcls,24,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.00448747529788156,0.009806836304374074,0.012521939779116606,-0.014736165662694471,0.03434983827144262,-0.017753767325022738,0.03736743993377088,true,0.005319361006492514,2.829560151739305e-5,true,true,false,false,0.09125,0.698095838211083,0.009806836304381233,0.01252193977911587,7.159203785356283e-15,7.355227538141662e-16
micro_randomized_wcls,25,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004863189800401277,0.01595187212943485,0.016919399707764782,-0.017210151297784124,0.049113895556653825,-0.02128747554501423,0.05319121980388393,true,0.011088682329033574,0.00012295887579422143,true,true,false,false,0.11,0.7314382858399802,0.015951872129443347,0.0169193997077641,8.496675585334401e-15,6.83481049534862e-16
micro_randomized_wcls,25,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004863189800401277,0.015348176805242465,0.017291712009930755,-0.018543578734221817,0.04923993234470675,-0.022710624721193475,0.0534069783316784,true,0.010484987004841188,0.00010993495249168858,true,true,false,false,0.11,0.7314382858399802,0.015348176805251183,0.017291712009930092,8.718720190259432e-15,6.626643678231403e-16
micro_randomized_wcls,26,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004511990810262813,-0.007503001200479114,0.011061473156986938,-0.029183488588173514,0.014177486187215285,-0.031849139467759364,0.016843137066801135,true,-0.012014992010741927,0.00014436003301819233,true,true,false,false,0.10416666666666667,0.7670976123433355,-0.007503001200470134,0.01106147315698633,8.979796073393942e-15,6.071532165918825e-16
micro_randomized_wcls,26,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004511990810262813,-0.007048554147849157,0.011294968354755316,-0.02918669212316958,0.015089583827471264,-0.03190861188037027,0.017811503584671956,true,-0.01156054495811197,0.0001336461997285281,true,true,false,false,0.10416666666666667,0.7670976123433355,-0.007048554147840114,0.011294968354754808,9.043113480267095e-15,5.082739784612045e-16
micro_randomized_wcls,27,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.0052751595334029015,0.022752857562510543,0.010511395183898082,0.0021505230020703037,0.04335519212295078,-0.00038256724910784926,0.04588828237412894,true,0.01747769802910764,0.00030546992839667307,true,true,true,false,0.12125,0.7146140606968855,0.02275285756251972,0.010511395183897697,9.17668718791731e-15,3.8510861166685117e-16
micro_randomized_wcls,27,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.0052751595334029015,0.02272705507291194,0.01035910578743011,0.002423207729548925,0.043030902416274955,-7.318303704113155e-5,0.04552729318286501,true,0.017451895539509037,0.0003045686579219354,true,true,true,false,0.12125,0.7146140606968855,0.0227270550729211,0.010359105787429716,9.159339953157541e-15,3.937822290467352e-16
micro_randomized_wcls,28,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.005127147333254981,0.008891358710751342,0.013586831155754334,-0.01773883035452715,0.03552154777602984,-0.021013055035734664,0.03879577245723735,true,0.0037642113774963605,1.4169287294473048e-5,true,true,false,false,0.11666666666666667,0.7311616538475093,0.008891358710760732,0.01358683115575405,9.390058175462457e-15,2.8449465006019636e-16
