replication,learner_family,scheduler_family,n_stages,n_participants,n_items,failure_rate,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
10,RL,RL,2,30,40,0.11375,dual_Bayesian_RL,0.279014336516179,0.08569275627539791,0.11105653421639913,0.4469721388159589,True,0.20384337565123142,0.0751709608649476,0.0056506733573594824,True,False
10,RL,RL,2,30,40,0.11375,dual_Bayesian_Bayesian,0.2830763453718912,0.08578021386204691,0.11494712620227923,0.4512055645415032,True,0.20384337565123142,0.07923296972065977,0.006277863490754988,True,False
10,RL,RL,2,30,40,0.11375,logged_plan_RL,0.26098892523557005,0.07842587646148223,0.10727420737106488,0.41470364310007524,True,0.20384337565123142,0.05714554958433862,0.003265613837296104,True,False
10,RL,RL,2,30,40,0.11375,logged_plan_Bayesian,0.2610958190404147,0.07834972476254976,0.10753035850581716,0.4146612795750122,True,0.20384337565123142,0.057252443389183255,0.0032778422740316333,True,False
10,RL,RL,2,30,40,0.11375,oracle,0.2562952108315305,0.07944351025434157,0.10058593073302102,0.41200449093004,True,0.20384337565123142,0.05245183518029908,0.0027511950137812605,True,False
11,RL,RL,2,30,40,0.11583333333333333,naive,-0.1024666008355577,0.05297546546226665,-0.20629851314160033,0.0013653114704849367,True,0.20689025752085904,-0.30935685835641674,0.09570166581215209,False,True
11,RL,RL,2,30,40,0.11583333333333333,state_RL,0.22113601784384443,0.05952022391253747,0.10447637897527098,0.33779565671241785,True,0.20689025752085904,0.014245760322985385,0.00020294168717994464,True,False
11,RL,RL,2,30,40,0.11583333333333333,state_Bayesian,0.2222217727080054,0.059784377796889054,0.10504439222610285,0.33939915318990793,True,0.20689025752085904,0.015331515187146344,0.000235055357933699,True,False
11,RL,RL,2,30,40,0.11583333333333333,dual_RL_RL,0.25794685051926625,0.0675785427484507,0.12549290673230287,0.39040079430622965,True,0.20689025752085904,0.0510565929984072,0.0026067756886050033,True,False
11,RL,RL,2,30,40,0.11583333333333333,dual_RL_Bayesian,0.25672793320458875,0.06771186822583532,0.12401267148195153,0.389443194927226,True,0.20689025752085904,0.04983767568372971,0.0024837939175566238,True,False
11,RL,RL,2,30,40,0.11583333333333333,dual_Bayesian_RL,0.25795755306752793,0.06756719405128245,0.12552585272701433,0.39038925340804154,True,0.20689025752085904,0.05106729554666889,0.0026078686744508283,True,False
11,RL,RL,2,30,40,0.11583333333333333,dual_Bayesian_Bayesian,0.25579161350692586,0.06781687073279159,0.12287054687065435,0.3887126801431974,True,0.20689025752085904,0.04890135598606682,0.002391342617276033,True,False
