calibration_rank,replication,n_participants,n_items,n_stages,adaptivity,natural_deviation_sd,outcome_intercept,state_reliability,failure_rate,planned_actual_spearman,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
1,14,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.7989329095369635,naive,-0.29986065190430616,0.06309532890695835,-0.42352749656194455,-0.1761938072466678,true,0.21620164364137556,-0.5160622955456817,0.26632029288387854,false,true
1,14,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.7989329095369635,history,-0.05415421490423687,0.06481536142188687,-0.18119232329113516,0.0728838934826614,true,0.21620164364137556,-0.27035585854561245,0.0730922902499352,false,true
1,14,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.7989329095369635,schedule_conditioned,0.10752701815606987,0.06683724278005905,-0.023473977692845857,0.23852801400498558,true,0.21620164364137556,-0.1086746254853057,0.011810174224371453,true,false
1,14,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.7989329095369635,oracle,0.12981879485757583,0.07401572828008465,-0.015252032571390073,0.27488962228654173,true,0.21620164364137556,-0.08638284878379973,0.007461996564004811,true,false
1,15,12,100,2,0.75,0.5,-2.4,0.8,0.10958333333333334,0.8336498226822608,naive,-0.20848642513619653,0.07164940733248601,-0.3489192635078691,-0.06805358676452394,true,0.23391173299125737,-0.44239815812745387,0.19571613031456367,false,true
1,15,12,100,2,0.75,0.5,-2.4,0.8,0.10958333333333334,0.8336498226822608,history,0.021276808875323232,0.09593986397913783,-0.1667653245237869,0.20931894227443337,true,0.23391173299125737,-0.21263492411593413,0.04521361095378906,false,false
1,15,12,100,2,0.75,0.5,-2.4,0.8,0.10958333333333334,0.8336498226822608,schedule_conditioned,0.2658678200810017,0.14041514885183526,-0.009345871668595407,0.5410815118305987,true,0.23391173299125737,0.03195608708974432,0.0010211915020873234,true,false
1,15,12,100,2,0.75,0.5,-2.4,0.8,0.10958333333333334,0.8336498226822608,oracle,0.2672003967667944,0.12571143343343413,0.020805987237263512,0.5135948062963254,true,0.23391173299125737,0.03328866377553705,0.0011081351359607525,true,false
1,16,12,100,2,0.75,0.5,-2.4,0.8,0.11166666666666666,0.8017567529091585,naive,-0.0875481786600715,0.06537455804847889,-0.21568231243509012,0.040585955114947114,true,0.21672495073190953,-0.30427312939198103,0.09258213726998923,false,true
1,16,12,100,2,0.75,0.5,-2.4,0.8,0.11166666666666666,0.8017567529091585,history,0.18201849273372284,0.09306561150598112,-0.0003901058180001693,0.3644270912854458,true,0.21672495073190953,-0.034706457998186696,0.0012045382267798974,true,false
1,16,12,100,2,0.75,0.5,-2.4,0.8,0.11166666666666666,0.8017567529091585,schedule_conditioned,0.39002888894602616,0.14034932097488625,0.1149442198352491,0.6651135580568033,true,0.21672495073190953,0.17330393821411663,0.030034255000522356,true,false
1,16,12,100,2,0.75,0.5,-2.4,0.8,0.11166666666666666,0.8017567529091585,oracle,0.36055699243261813,0.12517503816592696,0.1152139176274013,0.605900067237835,true,0.21672495073190953,0.1438320417007086,0.020687656219794376,true,false
1,17,12,100,2,0.75,0.5,-2.4,0.8,0.1,0.8078980022392365,naive,-0.11781949232732249,0.05368387469613745,-0.2230398867317519,-0.012599097922893085,true,0.22000479652879726,-0.33782428885611976,0.11412525014114304,false,true
1,17,12,100,2,0.75,0.5,-2.4,0.8,0.1,0.8078980022392365,history,0.2673946209487659,0.07503640575859269,0.12032326566192425,0.4144659762356076,true,0.22000479652879726,0.04738982441996867,0.002245795458555459,true,false
1,17,12,100,2,0.75,0.5,-2.4,0.8,0.1,0.8078980022392365,schedule_conditioned,0.37337169932814496,0.11540671572377309,0.1471745365095497,0.5995688621467402,true,0.22000479652879726,0.1533669027993477,0.023521406874264565,true,false
1,17,12,100,2,0.75,0.5,-2.4,0.8,0.1,0.8078980022392365,oracle,0.41660569209464576,0.08844447214173257,0.24325452669684994,0.5899568574924416,true,0.22000479652879726,0.1966008955658485,0.03865191213729367,false,false
1,18,12,100,2,0.75,0.5,-2.4,0.8,0.10041666666666667,0.8009814637120597,naive,-0.12798963298417892,0.08265754189362207,-0.28999841509567814,0.03401914912732032,true,0.22261889005606608,-0.35060852304024503,0.12292633642846203,false,true
1,18,12,100,2,0.75,0.5,-2.4,0.8,0.10041666666666667,0.8009814637120597,history,0.1370419867581933,0.14077702548172166,-0.1388809831859812,0.41296495670236777,true,0.22261889005606608,-0.08557690329787279,0.0073234063780534715,true,false
1,18,12,100,2,0.75,0.5,-2.4,0.8,0.10041666666666667,0.8009814637120597,schedule_conditioned,0.30939876825114676,0.1419225977451742,0.0312304766706053,0.5875670598316882,true,0.22261889005606608,0.08677987819508068,0.007530747259553039,true,false
1,18,12,100,2,0.75,0.5,-2.4,0.8,0.10041666666666667,0.8009814637120597,oracle,0.2626639367849926,0.14133861950457763,-0.014359757443979548,0.5396876310139648,true,0.22261889005606608,0.04004504672892653,0.0016036057675219094,true,false
