study,replication,n_participants,n_items,n_stages,context_strength,proxy_r2_target,proxy_r2_realized,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,sign_error,failure_rate,planned_actual_spearman
context_proxy,2,30,100,2,1.0,0.5,0.5000000000000014,plan_plus_proxy,0.24554808710135406,0.5045945643318702,0.07135010508071668,0.36474835837366554,0.644440770290075,0.3586672144515053,0.6505219142122352,true,0.25904647723051616,0.06710507736554033,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.5,0.5000000000000014,oracle,0.24554808710135406,0.2555300966065437,0.07238138466219134,0.11366258266864868,0.3973976105444387,0.10749354315682058,0.4035666500562668,true,0.009982009505189626,9.964051376169604e-5,true,true,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.75,0.7499999999999997,plan_conditioned,0.24554808710135406,0.6246183049456009,0.057469628006721694,0.5119778340524264,0.7372587758387754,0.507079718223914,0.7421568916672878,true,0.3790702178442468,0.14369423005648474,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.75,0.7499999999999997,plan_plus_proxy,0.24554808710135406,0.3907822509114558,0.07803054741957563,0.23784237796908755,0.543722123853824,0.23119186233709824,0.5503726394858134,true,0.14523416381010174,0.021092962337619463,true,true,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.75,0.7499999999999997,oracle,0.24554808710135406,0.2555300966065437,0.07238138466219134,0.11366258266864868,0.3973976105444387,0.10749354315682058,0.4035666500562668,true,0.009982009505189626,9.964051376169604e-5,true,true,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,1.0,1.0,plan_conditioned,0.24554808710135406,0.6246183049456009,0.057469628006721694,0.5119778340524264,0.7372587758387754,0.507079718223914,0.7421568916672878,true,0.3790702178442468,0.14369423005648474,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,1.0,1.0,plan_plus_proxy,0.24554808710135406,0.19489782599157573,0.08341270652866671,0.03140892119538899,0.3583867307877625,0.024299686068630533,0.36549596591452094,true,-0.05065026110977833,0.002565448950488723,true,true,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,1.0,1.0,oracle,0.24554808710135406,0.2555300966065437,0.07238138466219134,0.11366258266864868,0.3973976105444387,0.10749354315682058,0.4035666500562668,true,0.009982009505189626,9.964051376169604e-5,true,true,false,0.1105,0.7383583067321752
context_proxy,3,30,100,2,1.0,0.0,1.65913305149065e-34,plan_conditioned,0.25612044693426333,0.8172411939341166,0.09152933820143262,0.6378436910593087,0.9966386968089246,0.6300426783197575,1.0044397095484758,true,0.5611207469998534,0.31485649271367344,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.0,1.65913305149065e-34,plan_plus_proxy,0.25612044693426333,0.8197202885786393,0.09286638517660617,0.6377021736324913,1.0017384035247874,0.6297872048577313,1.0096533722995473,true,0.5635998416443759,0.3176447815015656,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.0,1.65913305149065e-34,oracle,0.25612044693426333,0.33924642634823876,0.1014744715571681,0.1403564620961893,0.5381363906002883,0.1317078291997667,0.5467850234967109,true,0.08312597941397543,0.006909928453532666,true,true,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.25,0.2500000000000008,plan_conditioned,0.25612044693426333,0.8172411939341166,0.09152933820143262,0.6378436910593087,0.9966386968089246,0.6300426783197575,1.0044397095484758,true,0.5611207469998534,0.31485649271367344,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.25,0.2500000000000008,plan_plus_proxy,0.25612044693426333,0.7478049339389569,0.10300877265476767,0.5459077395356122,0.9497021283423015,0.5371283387057174,0.9584815291721963,true,0.4916844870046935,0.24175363476106865,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.25,0.2500000000000008,oracle,0.25612044693426333,0.33924642634823876,0.1014744715571681,0.1403564620961893,0.5381363906002883,0.1317078291997667,0.5467850234967109,true,0.08312597941397543,0.006909928453532666,true,true,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.5,0.5000000000000007,plan_conditioned,0.25612044693426333,0.8172411939341166,0.09152933820143262,0.6378436910593087,0.9966386968089246,0.6300426783197575,1.0044397095484758,true,0.5611207469998534,0.31485649271367344,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.5,0.5000000000000007,plan_plus_proxy,0.25612044693426333,0.6482391451940731,0.1091320876095928,0.43434025347927124,0.8621380369088749,0.42503896470711083,0.8714393256810353,true,0.3921186982598098,0.15375707352496773,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.5,0.5000000000000007,oracle,0.25612044693426333,0.33924642634823876,0.1014744715571681,0.1403564620961893,0.5381363906002883,0.1317078291997667,0.5467850234967109,true,0.08312597941397543,0.006909928453532666,true,true,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.75,0.7499999999999972,plan_conditioned,0.25612044693426333,0.8172411939341166,0.09152933820143262,0.6378436910593087,0.9966386968089246,0.6300426783197575,1.0044397095484758,true,0.5611207469998534,0.31485649271367344,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.75,0.7499999999999972,plan_plus_proxy,0.25612044693426333,0.5174167444654791,0.11509323753738761,0.2918339988921994,0.7429994900387589,0.2820246434449937,0.7528088454859646,true,0.2612962975312158,0.06827575510352166,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,0.75,0.7499999999999972,oracle,0.25612044693426333,0.33924642634823876,0.1014744715571681,0.1403564620961893,0.5381363906002883,0.1317078291997667,0.5467850234967109,true,0.08312597941397543,0.006909928453532666,true,true,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,1.0,1.0000000000000004,plan_conditioned,0.25612044693426333,0.8172411939341166,0.09152933820143262,0.6378436910593087,0.9966386968089246,0.6300426783197575,1.0044397095484758,true,0.5611207469998534,0.31485649271367344,false,false,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,1.0,1.0000000000000004,plan_plus_proxy,0.25612044693426333,0.3427962883006796,0.11617175876842446,0.11509964111456766,0.5704929354867916,0.10519836368880814,0.580394212912551,true,0.08667584136641626,0.007512701476576156,true,true,false,0.1045,0.760011656222546
context_proxy,3,30,100,2,1.0,1.0,1.0000000000000004,oracle,0.25612044693426333,0.33924642634823876,0.1014744715571681,0.1403564620961893,0.5381363906002883,0.1317078291997667,0.5467850234967109,true,0.08312597941397543,0.006909928453532666,true,true,false,0.1045,0.760011656222546
context_proxy,4,30,100,2,1.0,0.0,2.4542379120951896e-34,plan_conditioned,0.2463448134054806,0.7669485183774817,0.073259578636095,0.6233597442507355,0.9105372925042279,0.6171158565807885,0.9167811801741749,true,0.5206037049720011,0.2710282176305744,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.0,2.4542379120951896e-34,plan_plus_proxy,0.2463448134054806,0.7669805415142622,0.07324874785905325,0.6234129957105179,0.9105480873180065,0.6171700311438222,0.9167910518847022,true,0.5206357281087817,0.27106156138336124,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.0,2.4542379120951896e-34,oracle,0.2463448134054806,0.31150111817891,0.08651029034695128,0.14194094909888552,0.4810612872589345,0.13456770801181864,0.48843452834600143,true,0.06515630477342943,0.004245344051728023,true,true,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.25,0.250000000000002,plan_conditioned,0.2463448134054806,0.7669485183774817,0.073259578636095,0.6233597442507355,0.9105372925042279,0.6171158565807885,0.9167811801741749,true,0.5206037049720011,0.2710282176305744,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.25,0.250000000000002,plan_plus_proxy,0.2463448134054806,0.6859714089407072,0.08028404384902178,0.5286146829966245,0.8433281348847899,0.5217721026704061,0.8501707152110083,true,0.4396265955352266,0.1932715435018937,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.25,0.250000000000002,oracle,0.2463448134054806,0.31150111817891,0.08651029034695128,0.14194094909888552,0.4810612872589345,0.13456770801181864,0.48843452834600143,true,0.06515630477342943,0.004245344051728023,true,true,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.5,0.5000000000000039,plan_conditioned,0.2463448134054806,0.7669485183774817,0.073259578636095,0.6233597442507355,0.9105372925042279,0.6171158565807885,0.9167811801741749,true,0.5206037049720011,0.2710282176305744,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.5,0.5000000000000039,plan_plus_proxy,0.2463448134054806,0.5884680837103478,0.08656899130203324,0.41879286075836264,0.7581433066623329,0.4114146166099012,0.7655215508107943,true,0.34212327030486717,0.1170483320840972,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.5,0.5000000000000039,oracle,0.2463448134054806,0.31150111817891,0.08651029034695128,0.14194094909888552,0.4810612872589345,0.13456770801181864,0.48843452834600143,true,0.06515630477342943,0.004245344051728023,true,true,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.75,0.7500000000000061,plan_conditioned,0.2463448134054806,0.7669485183774817,0.073259578636095,0.6233597442507355,0.9105372925042279,0.6171158565807885,0.9167811801741749,true,0.5206037049720011,0.2710282176305744,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.75,0.7500000000000061,plan_plus_proxy,0.2463448134054806,0.4652037772392632,0.09226234152498546,0.2843695878502917,0.6460379666282348,0.276506101499792,0.6539014529787344,true,0.21885896383378262,0.047899246050396964,false,false,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,0.75,0.7500000000000061,oracle,0.2463448134054806,0.31150111817891,0.08651029034695128,0.14194094909888552,0.4810612872589345,0.13456770801181864,0.48843452834600143,true,0.06515630477342943,0.004245344051728023,true,true,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,1.0,1.0,plan_conditioned,0.2463448134054806,0.7669485183774817,0.073259578636095,0.6233597442507355,0.9105372925042279,0.6171158565807885,0.9167811801741749,true,0.5206037049720011,0.2710282176305744,false,false,false,0.1085,0.7344199081227752
