participant_code,card_code,study_day,daily_review_index,first_ease,last_ease,last_scheduled_interval_days,next_gap_days,next_first_ease,scheduler_encoding
P02,C026,2,1,2,4,4.0,3.6443687152777775,2.0,mixed
P02,C027,2,1,2,3,2.0,1.656140486111111,2.0,mixed
P02,C027,4,2,2,2,5.0,4.977586851851852,2.0,mixed
P02,C028,2,1,2,4,3.0,2.686159537037037,4.0,mixed
P02,C029,2,1,2,4,4.0,3.6976078935185184,2.0,mixed
P02,C030,2,1,2,3,2.0,1.6619826041666663,3.0,mixed
P02,C031,2,1,2,3,2.0,1.6588160763888888,2.0,mixed
P02,C031,4,2,2,2,9.0,8.955336481481481,1.0,mixed
P02,C032,2,1,2,3,2.0,1.6566653703703704,2.0,mixed
P02,C032,4,2,2,2,7.0,7.015754988425926,1.0,mixed
P02,C032,11,3,1,1,0.0069444444444444,0.9701988657407408,3.0,mixed
P02,C032,12,4,3,3,2.0,1.9680941435185184,3.0,mixed
P02,C033,2,1,2,3,4.0,3.676984930555556,2.0,mixed
P02,C035,2,1,2,4,2.0,1.6530100810185184,2.0,mixed
P02,C035,4,2,2,2,4.0,3.947887997685185,2.0,mixed
P02,C036,2,1,2,3,2.0,1.6536585300925928,2.0,mixed
P02,C036,4,2,2,2,4.0,3.9488800810185194,2.0,mixed
P02,C037,2,1,1,3,1.0,1.113397337962963,2.0,mixed
P02,C037,3,2,2,2,3.0,2.511900983796296,3.0,mixed
P02,C037,6,3,3,3,8.0,7.985566435185184,2.0,mixed
P02,C038,2,1,1,4,2.0,1.6465901041666668,2.0,mixed
P02,C038,4,2,2,2,1.0,1.0148086458333334,2.0,mixed
P02,C038,5,3,2,2,2.0,1.986275625,2.0,mixed
P02,C038,7,4,2,2,5.0,4.9884757870370375,1.0,mixed
P02,C038,12,5,1,1,0.0069444444444444,0.9661215162037038,2.0,mixed
P02,C038,13,6,2,2,1.0,1.002063587962963,3.0,mixed
P02,C039,2,1,2,4,5.0,4.653858796296297,3.0,mixed
P02,C040,2,1,3,3,3.0,2.6744803703703703,2.0,mixed
P02,C041,3,1,1,3,1.0,0.5157620601851851,3.0,mixed
P02,C041,4,2,3,3,2.0,2.0287074305555555,2.0,mixed
P02,C041,6,3,2,2,2.0,1.931884733796296,2.0,mixed
P02,C041,8,4,2,2,4.0,4.034022430555556,3.0,mixed
P02,C042,3,1,1,3,1.0,0.5321950925925927,2.0,mixed
P02,C042,4,2,2,2,1.0,1.0089305208333332,2.0,mixed
P02,C042,5,3,2,2,1.0,1.0027752893518518,2.0,mixed
P02,C042,6,4,2,2,2.0,1.9297399074074075,3.0,mixed
P02,C043,3,1,1,4,2.0,1.5457674421296297,2.0,mixed
P02,C043,5,2,2,2,2.0,1.9874420717592591,4.0,mixed
P02,C044,3,1,1,3,1.0,0.5438465162037037,2.0,mixed
P02,C044,4,2,2,2,2.0,2.0138553819444445,2.0,mixed
P02,C044,6,3,2,2,3.0,2.952095451388889,2.0,mixed
P02,C045,3,1,1,3,1.0,0.5531861921296296,3.0,mixed
P02,C045,4,2,3,3,4.0,3.944134525462963,2.0,mixed
P02,C046,3,1,1,4,2.0,1.546939050925926,2.0,mixed
P02,C046,5,2,2,2,5.0,4.97779224537037,4.0,mixed
